id,username,model_name,timestamp,stepname,app_name,accelerometer_x,accelerometer_y,accelerometer_z,lat,lon
25103,60005190036,seriesresonance_bundle,2020-02-21 16:56:26,Initial Conditions,Basic_Electrical_Engineering_AR,-0.1012164,-0.8236707,-0.4896326,0E-8,0E-8
25102,60005190036,stardelta_bundle,2020-02-21 16:56:07,Ra,Basic_Electrical_Engineering_AR,-0.05251242,-0.8332528,-0.5428529,0E-8,0E-8
25101,junaid,right_hand_rule_bundle,2020-02-20 14:44:52,Working,Engineering_Mechanics_AR,0.0007250279,-0.9514458,-0.3330474,0E-8,0E-8
25100,junaid,right_hand_rule_bundle,2020-02-20 14:44:21,Working,Engineering_Mechanics_AR,0.0102461,-0.9545585,-0.3256014,0E-8,0E-8
25099,junaid,right_hand_rule_bundle,2020-02-20 14:43:46,Introduction,Engineering_Mechanics_AR,0.009879909,-0.9541922,-0.3270662,0E-8,0E-8
25098,junaid,projectile_on_inclined_plane_bundle,2020-02-20 14:43:01,Axis,Engineering_Mechanics_AR,0.008964419,-0.9501641,-0.3353667,0E-8,0E-8
25097,junaid,projectile_on_inclined_plane_bundle,2020-02-20 14:42:18,Height,Engineering_Mechanics_AR,0.01012404,-0.9540092,-0.3273714,0E-8,0E-8
25096,junaid,projectile_on_inclined_plane_bundle,2020-02-20 14:41:37,Range,Engineering_Mechanics_AR,0.009635778,-0.9521781,-0.3279817,0E-8,0E-8
25095,junaid,projectile_on_inclined_plane_bundle,2020-02-20 14:40:38,Introduction,Engineering_Mechanics_AR,0.009330615,-0.9529716,-0.3300568,0E-8,0E-8
25094,junaid,projectile_motion_from_height_bundle,2020-02-20 14:39:45,Height,Engineering_Mechanics_AR,0.008293062,-0.9521782,-0.3284089,0E-8,0E-8
25093,junaid,projectile_motion_from_height_bundle,2020-02-20 14:39:05,Range,Engineering_Mechanics_AR,0.009879909,-0.9537041,-0.3276155,0E-8,0E-8
25092,junaid,projectile_motion_from_height_bundle,2020-02-20 14:38:18,Introduction,Engineering_Mechanics_AR,0.00847616,-0.9530327,-0.3309113,0E-8,0E-8
25091,junaid,projectile_motion_bundle,2020-02-20 14:37:20,Height,Engineering_Mechanics_AR,0.00945268,-0.9533378,-0.3288362,0E-8,0E-8
25090,junaid,projectile_motion_bundle,2020-02-20 14:36:44,Range,Engineering_Mechanics_AR,0.008293062,-0.9531547,-0.3283479,0E-8,0E-8
25089,junaid,projectile_motion_bundle,2020-02-20 14:35:39,Introduction,Engineering_Mechanics_AR,0.01158882,-0.9533378,-0.324869,0E-8,0E-8
25088,junaid,one_degree_freedom_bundle,2020-02-20 14:34:35,Working,Engineering_Mechanics_AR,0.01006301,-0.9542533,-0.3274935,0E-8,0E-8
25087,junaid,one_degree_freedom_bundle,2020-02-20 14:34:04,Introduction,Engineering_Mechanics_AR,0.008232029,-0.9544975,-0.3274324,0E-8,0E-8
25086,junaid,negative_workdone_bundle,2020-02-20 14:33:13,Working,Engineering_Mechanics_AR,0.004814208,-0.9516898,-0.3312775,0E-8,0E-8
25085,junaid,negative_workdone_bundle,2020-02-20 14:32:30,Introduction,Engineering_Mechanics_AR,0.01000197,-0.9549247,-0.3263949,0E-8,0E-8
25084,junaid,newtons_cradle_bundle,2020-02-20 14:31:41,Working,Engineering_Mechanics_AR,0.008170998,-0.9532158,-0.3279817,0E-8,0E-8
25083,junaid,newtons_cradle_bundle,2020-02-20 14:31:02,Introduction,Engineering_Mechanics_AR,0.007194476,-0.9537041,-0.328409,0E-8,0E-8
25082,junaid,chord_joint_bundle,2020-02-20 14:30:19,Working,Engineering_Mechanics_AR,0.008720291,-0.9540702,-0.3299347,0E-8,0E-8
25081,junaid,chord_joint_bundle,2020-02-20 14:29:49,Working,Engineering_Mechanics_AR,0.008720291,-0.951812,-0.3285921,0E-8,0E-8
25080,junaid,oblique_impact_bundle,2020-02-20 14:28:55,Working,Engineering_Mechanics_AR,0.01067333,-0.9540703,-0.3284089,0E-8,0E-8
25079,junaid,oblique_impact_bundle,2020-02-20 14:28:26,Introduction,Engineering_Mechanics_AR,0.01055127,-0.9541923,-0.3267611,0E-8,0E-8
25078,junaid,direct_impact_bundle,2020-02-20 14:27:52,Working,Engineering_Mechanics_AR,0.009086485,-0.9543144,-0.3280427,0E-8,0E-8
25077,junaid,direct_impact_bundle,2020-02-20 14:27:22,Introduction,Engineering_Mechanics_AR,0.005912793,-0.9529716,-0.3288362,0E-8,0E-8
25076,junaid,impulse_bundle,2020-02-20 14:26:30,Working,Engineering_Mechanics_AR,0.008354095,-0.9537039,-0.3273714,0E-8,0E-8
25075,junaid,impulse_bundle,2020-02-20 14:25:40,Introduction,Engineering_Mechanics_AR,0.009879909,-0.9551688,-0.3260287,0E-8,0E-8
25074,junaid,couple_bundle,2020-02-20 14:24:25,Introduction,Engineering_Mechanics_AR,0.01189398,-0.955718,-0.321024,0E-8,0E-8
25073,junaid,couple_bundle,2020-02-20 14:23:58,Definition,Engineering_Mechanics_AR,0.01097849,-0.9563284,-0.3223057,0E-8,0E-8
25072,junaid,resultant_forces_bundle,2020-02-20 14:23:02,Introduction,Engineering_Mechanics_AR,0.008598225,-0.9553519,-0.3301789,0E-8,0E-8
25071,junaid,resultant_forces_bundle,2020-02-20 14:22:31,Definition,Engineering_Mechanics_AR,0.0079879,-0.9531547,-0.3293855,0E-8,0E-8
25070,junaid,characteristics_of_forces_bundle,2020-02-20 14:21:37,WORKING,Engineering_Mechanics_AR,0.01134469,-0.953765,-0.3293244,0E-8,0E-8
25069,junaid,characteristics_of_forces_bundle,2020-02-20 14:21:07,Introduction,Engineering_Mechanics_AR,0.01030714,-0.9527885,-0.3282259,0E-8,0E-8
25068,junaid,angle_of_friction_bundle,2020-02-20 14:19:51,Working,Engineering_Mechanics_AR,0.009330615,-0.9521782,-0.328653,0E-8,0E-8
25067,junaid,angle_of_friction_bundle,2020-02-20 14:18:10,Introduction,Engineering_Mechanics_AR,0.009574746,-0.9538872,-0.3275545,0E-8,0E-8
25066,junaid,3rdlaw_bundle,2020-02-20 14:17:08,Reaction,Engineering_Mechanics_AR,0.007316542,-0.9532768,-0.330423,0E-8,0E-8
25065,junaid,3rdlaw_bundle,2020-02-20 14:16:20,Action,Engineering_Mechanics_AR,0.009696811,-0.9530327,-0.3298127,0E-8,0E-8
25064,junaid,3rdlaw_bundle,2020-02-20 14:16:07,Introduction,Engineering_Mechanics_AR,0.01012404,-0.9534599,-0.3291413,0E-8,0E-8
25063,junaid,2ndlaw_bundle,2020-02-20 14:15:25,Smaller Mass,Engineering_Mechanics_AR,0.007072411,-0.9532768,-0.32847,0E-8,0E-8
